Site,Subsite,Device,X,Y
I,50um,A1,0,0
I,50um,A2,-160,0
I,50um,A3,-320,0
I,50um,A4,-480,0
I,50um,A5,-640,0
I,50um,A6,-800,0
I,50um,A7,-960,0
I,50um,A8,-1120,0
I,50um,A9,-1280,0
I,50um,A10,-1440,0
I,50um,A11,-1600,0
I,50um,A12,-1760,0
I,50um,A13,-1920,0
I,40um,B1,0,160
I,40um,B2,-160,160
I,40um,B3,-320,160
I,40um,B4,-480,160
I,40um,B5,-640,160
I,40um,B6,-800,160
I,40um,B7,-960,160
I,40um,B8,-1120,160
I,40um,B9,-1280,160
I,40um,B10,-1440,160
I,40um,B11,-1600,160
I,40um,B12,-1760,160
I,40um,B13,-1920,160
I,30um,C1,0,320
I,30um,C2,-160,320
I,30um,C3,-320,320
I,30um,C4,-480,320
I,30um,C5,-640,320
I,30um,C6,-800,320
I,30um,C7,-960,320
I,30um,C8,-1120,320
I,30um,C9,-1280,320
I,30um,C10,-1440,320
I,30um,C11,-1600,320
I,30um,C12,-1760,320
I,30um,C13,-1920,320
I,25um,D1,0,480
I,25um,D2,-160,480
I,25um,D3,-320,480
I,25um,D4,-480,480
I,25um,D5,-640,480
I,25um,D6,-800,480
I,25um,D7,-960,480
I,25um,D8,-1120,480
I,25um,D9,-1280,480
I,25um,D10,-1440,480
I,25um,D11,-1600,480
I,25um,D12,-1760,480
I,25um,D13,-1920,480
I,25um,E1,0,640
I,25um,E2,-160,640
I,25um,E3,-320,640
I,25um,E4,-480,640
I,25um,E5,-640,640
I,25um,E6,-800,640
I,25um,E7,-960,640
I,25um,E8,-1120,640
I,25um,E9,-1280,640
I,25um,E10,-1440,640
I,25um,E11,-1600,640
I,25um,E12,-1760,640
I,25um,E13,-1920,640
I,20um,F1,0,800
I,20um,F2,-160,800
I,20um,F3,-320,800
I,20um,F4,-480,800
I,20um,F5,-640,800
I,20um,F6,-800,800
I,20um,F7,-960,800
I,20um,F8,-1120,800
I,20um,F9,-1280,800
I,20um,F10,-1440,800
I,20um,F11,-1600,800
I,20um,F12,-1760,800
I,20um,F13,-1920,800
I,15um,G1,0,960
I,15um,G2,-160,960
I,15um,G3,-320,960
I,15um,G4,-480,960
I,15um,G5,-640,960
I,15um,G6,-800,960
I,15um,G7,-960,960
I,15um,G8,-1120,960
I,15um,G9,-1280,960
I,15um,G10,-1440,960
I,15um,G11,-1600,960
I,15um,G12,-1760,960
I,15um,G13,-1920,960
I,10um,H1,0,1120
I,10um,H2,-160,1120
I,10um,H3,-320,1120
I,10um,H4,-480,1120
I,10um,H5,-640,1120
I,10um,H6,-800,1120
I,10um,H7,-960,1120
I,10um,H8,-1120,1120
I,10um,H9,-1280,1120
I,10um,H10,-1440,1120
I,10um,H11,-1600,1120
I,10um,H12,-1760,1120
I,10um,H13,-1920,1120
I,8um,I1,0,1280
I,8um,I2,-160,1280
I,8um,I3,-320,1280
I,8um,I4,-480,1280
I,8um,I5,-640,1280
I,8um,I6,-800,1280
I,8um,I7,-960,1280
I,8um,I8,-1120,1280
I,8um,I9,-1280,1280
I,8um,I10,-1440,1280
I,8um,I11,-1600,1280
I,8um,I12,-1760,1280
I,8um,I13,-1920,1280
I,TLM,L800W8,0,0
I,TLM,L400W8,-420,0
I,TLM,L800W4,0,180
I,TLM,L400W4,-420,180
I,TLM,L800W2,0,360
I,TLM,L400W2,-420,360
I,TLM,L200W8,-840,0
I,TLM,L100W8,-1260,0
I,TLM,L200W4,-840,180
I,TLM,L100W4,-1260,180
I,TLM,L200W2,-840,360
I,TLM,L100W2,-1260,360
VI,50um,A1,0,0
VI,50um,A2,-160,0
VI,50um,A3,-320,0
VI,50um,A4,-480,0
VI,50um,A5,-640,0
VI,50um,A6,-800,0
VI,50um,A7,-960,0
VI,50um,A8,-1120,0
VI,50um,A9,-1280,0
VI,50um,A10,-1440,0
VI,50um,A11,-1600,0
VI,50um,A12,-1760,0
VI,50um,A13,-1920,0
